VIN (1-10),County,City,State,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,DOL Vehicle ID
JTMEB3FV6N,Monroe,Key West,FL,2022,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,42,198968248
1G1RD6E45D,Clark,Laughlin,NV,2013,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,5204412
JN1AZ0CP8B,Yakima,Yakima,WA,2011,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,218972519
1G1FW6S08H,Skagit,Concrete,WA,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,186750406
3FA6P0SU1K,Snohomish,Everett,WA,2019,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26,2006714
5YJ3E1EB5J,Snohomish,Bothell,WA,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,475635324
1N4AZ0CP4D,Snohomish,Everett,WA,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,253546023
1N4AZ0CP0D,Snohomish,Mukilteo,WA,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,176817364
1N4BZ0CP4G,Island,Clinton,WA,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,475900379
KNDJP3AE2G,Skagit,Anacortes,WA,2016,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,100489049
WA1F2AFY1L,Thurston,Lacey,WA,2020,AUDI,Q5 E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,20,103317238
5YJXCBE23L,Grant,Moses Lake,WA,2020,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,293,3214494
3C3CFFGE3G,St. Clair,Mascoutah,IL,2016,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,153786167
1G1RD6S50G,Thurston,Rochester,WA,2016,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,476126752
5YJ3E1EA1J,Skagit,Burlington,WA,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,211534823
1N4BZ1CP4K,Snohomish,Everett,WA,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,203204347
1N4AZ0CP4D,Pierce,Kapowsin,WA,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,237061968
1N4BZ0CP4H,Snohomish,Marysville,WA,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,107,262138243
5UXKT0C50G,Snohomish,Lynnwood,WA,2016,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,320712472
5YJXCAE28G,Saratoga,Greenfield Center,NY,2016,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,218050878
